draft_pick,rookie_contract_cap_pct,compensation_v1
1,0.041047523691278696,1
2,0.0392066114602736,0.9551516860103249
3,0.038035143718457995,0.9266123823820159
4,0.03669628379530758,0.8939950695029231
5,0.03435329821645469,0.8369152418262368
6,0.030169409423736603,0.7349873198354874
7,0.026822297187276814,0.6534449529528064
8,0.023475183948912594,0.571902561661724
9,0.02330763847619944,0.56782081792553
10,0.022387366210160454,0.5454011398723442
11,0.020964852276328834,0.5107458475207166
12,0.01895657291159976,0.46182013449029163
13,0.01845450958279631,0.44958886488729427
14,0.017617734028442442,0.42920333418762735
15,0.0172830418409807,0.4210495612589853
16,0.016278885126240792,0.39658628980094945
17,0.01594417189878595,0.38843200429587865
18,0.015525789632083401,0.3782393731922528
19,0.015274747447685123,0.3721234821025397
20,0.015191077406532989,0.3700851120955833
21,0.01506555631433385,0.3670271665507268
22,0.01494003522213471,0.36396922100587026
23,0.014772684118881671,0.35989221249954234
24,0.01443797189333126,0.3517379514028729
25,0.014270620790078223,0.34766094289654503
26,0.014103239629692177,0.343583202138176
27,0.013935908564527809,0.33950668179987553
28,0.013852228504331338,0.3374680677089054
29,0.01318075616056829,0.3211096547431626
30,0.012825167252335514,0.31244679578711
31,0.012527303068043056,0.30519022687609076
32,0.012335512509941866,0.30051782423510176
33,0.009919370875062762,0.2416557683154542
34,0.009835690814866292,0.2396171542244841
35,0.009752009752765387,0.2375785157251126
36,0.00958465864951235,0.23350150721878474
37,0.009517718408592021,0.23187070869793386
38,0.009367077067482119,0.2282007835096841
39,0.00921647680445399,0.22453185906589052
40,0.009082585301664562,0.22126999353177362
41,0.008948704819823905,0.2180083964900719
42,0.008798083516802674,0.21433895946984954
43,0.008664203034962016,0.21107736242814779
44,0.008536628539626268,0.20796939186467983
45,0.008357943893420651,0.20361627552203473
46,0.008165477049826798,0.19892739721011976
47,0.007911097521760288,0.19273020173543737
48,0.007743746418507249,0.18865319322910948
49,0.007576375277165539,0.18457569655475417
50,0.007409034192956836,0.18049893213244
51,0.007241683089703798,0.17642192362611211
52,0.007074321967406424,0.17234467103577053
53,0.006906970864153385,0.16826766252944264
54,0.006739609741856011,0.16419040993910106
55,0.006572258638602973,0.16011340143277317
56,0.006488577576502069,0.15807476293340167
57,0.006438367135813547,0.15685153589865633
58,0.006354697094661413,0.15481316589169994
59,0.00623754641305256,0.1519591403361037
60,0.006187335972364038,0.15073591330135833
61,0.006120395731443709,0.14910511478050745
62,0.006070185290755187,0.1478818877457621
63,0.006053454488618947,0.1474742918512552
64,0.006019984869111,0.14665890479503046
65,0.005685108331233481,0.13850064072053603
66,0.00567044646175257,0.1381434481748618
67,0.005663852928675226,0.1379828164854343
68,0.005653184650266537,0.13772291582762788
69,0.005635931855920406,0.13730260315600631
70,0.005603055363837134,0.13650166587339363
71,0.005580663801651205,0.13595616251113632
72,0.005564855753498288,0.13557104675429285
73,0.005543548251909485,0.13505195328231978
74,0.0055329921867973576,0.13479478636546702
75,0.005516672165478883,0.13439719791552251
76,0.005470526451077366,0.13327299576514234
77,0.005465315546118352,0.1331460476696079
78,0.005457584851508901,0.13295771244462345
79,0.005437004732538874,0.1324563394720463
80,0.0054178072416871765,0.13198865009336214
81,0.00539860975083548,0.131520960714678
82,0.005385022924811794,0.13118995838367567
83,0.005357338301503298,0.1305155054369714
84,0.005337648875574716,0.13003583153321374
85,0.005326621915378809,0.12976719266771625
86,0.005307916359603997,0.12931148781410562
87,0.0052904281177159765,0.1288854391681617
88,0.005280875960846289,0.1286527294694834
89,0.005277701927600729,0.1285754036539377
90,0.0052761149109779495,0.12853674074616486
91,0.005274527894355169,0.12849807783839198
92,0.005266592811241269,0.1283047632995277
93,0.005250722645013469,0.12791813422179915
94,0.005234852478785669,0.1275315051440706
95,0.0052189833144623025,0.12714490047474342
96,0.0052031131482345025,0.12675827139701487
97,0.005180117437675129,0.12619804976873042
98,0.005180117437675129,0.12619804976873042
99,0.005180117437675129,0.12619804976873042
100,0.005180117437675129,0.12619804976873042
101,0.005180117437675129,0.12619804976873042
102,0.005180117437675129,0.12619804976873042
103,0.005180117437675129,0.12619804976873042
104,0.005180117437675129,0.12619804976873042
105,0.004727483064102015,0.11517096864740846
106,0.0047069530403536656,0.11467081609489989
107,0.004704019464172163,0.11459934829568338
108,0.004698478932654502,0.11446436983609758
109,0.004690199194415453,0.11426265880716144
110,0.004685411093127407,0.11414601105700584
111,0.004682171936093664,0.11406709869537095
112,0.004677637316627312,0.1139566262707624
113,0.004672610762084075,0.11383416932108033
114,0.004666483114568342,0.1136848875382907
115,0.0046519544983770955,0.1133309413099989
116,0.004649988761878425,0.11328305202650753
117,0.004646638393452556,0.11320143033232039
118,0.004645803807059389,0.11318109813397771
119,0.004641611838909319,0.11307897338263831
120,0.004631000669053345,0.1128204640037101
121,0.004627613230163434,0.1127379391986722
122,0.004619868508891913,0.11254926225606855
123,0.004611760096311005,0.11235172506376695
124,0.004606599286573669,0.11222599738830105
125,0.004601402408276724,0.11209939101038577
126,0.004593776913632799,0.11191361866754537
127,0.004584289880551293,0.11168249551495625
128,0.004584289880551293,0.11168249551495625
129,0.004576472020256122,0.11149203675905249
130,0.004570239172774862,0.1113401920941188
131,0.00456102766341259,0.11111578125190691
132,0.0045570370780536685,0.11101856258924324
133,0.004547870654390906,0.11079525012509304
134,0.004541436424118499,0.11063849937148368
135,0.004531034652289142,0.11038509134844214
136,0.004520147958713935,0.11011986965913668
137,0.004361786943943349,0.10626187773831754
138,0.004361786943943349,0.10626187773831754
139,0.004199882193191216,0.10231755330184653
140,0.004196881489412664,0.10224445013973811
141,0.004195117135705141,0.10220146694492245
142,0.0041873874430001234,0.10201315612833939
143,0.004178214006006327,0.10178967280537962
144,0.004175473797380504,0.10172291582762788
145,0.004172680487819702,0.10165486520460344
146,0.004171749718600912,0.10163218979972907
147,0.004170818949382122,0.1016095143948547
148,0.004164214395356008,0.10144861421301213
149,0.004161139550649371,0.1013737048292022
150,0.0041596497187566485,0.10133740953636243
151,0.004159187840812771,0.10132615726333004
152,0.004158347242993003,0.10130567861457915
153,0.004158085745935841,0.10129930802182112
154,0.004156023826611547,0.10124907553179804
155,0.004153841678755224,0.10119591403361038
156,0.004150810917843665,0.10112207861946082
157,0.004149858106727337,0.10109886622975629
158,0.004146618949693595,0.10101995386812142
159,0.004145115091138801,0.1009833168576624
160,0.004141823835074513,0.1009031352591562
161,0.004140386102212335,0.10086810920318773
162,0.004134578062210912,0.1007266137004357
163,0.004133788561517256,0.10070737988015475
164,0.0041307958729741735,0.10063447198525735
165,0.004121450108417801,0.10040679041726162
166,0.004116572837635167,0.10028797031938393
167,0.004109015472492724,0.10010385774783682
168,0.004105292395617566,0.10001315612833937
169,0.004100637547619184,0.09989975469556621
170,0.004071336852459335,0.09918593099744932
171,0.004071336852459335,0.09918593099744932
172,0.004071336852459335,0.09918593099744932
173,0.004071336852459335,0.09918593099744932
174,0.004071336852459335,0.09918593099744932
175,0.004071336852459335,0.09918593099744932
176,0.004071336852459335,0.09918593099744932
177,0.004071336852459335,0.09918593099744932
178,0.004071336852459335,0.09918593099744932
179,0.004042035155395052,0.09847208289093105
180,0.0040351400490832015,0.09830410427269066
181,0.004031386915075036,0.09821267040115209
182,0.004026733068981088,0.09809929337678029
183,0.004021766628703865,0.09797830093118051
184,0.00401777504144051,0.09788105786011546
185,0.004015236215605835,0.09781920697103944
186,0.004013426776198802,0.09777512539816205
187,0.0040107236380370215,0.09770927153126106
188,0.0040079313303806536,0.09764124531663801
189,0.004007112774458424,0.09762130365271728
190,0.0040026673244866594,0.09751300357583081
191,0.003999927115860837,0.09744624659807907
192,0.003999181698962258,0.09742808674745848
193,0.003998265958309972,0.0974057774686047
194,0.003997417345254736,0.09738510355264283
195,0.00399624110944972,0.09735644808943238
196,0.003995965585730488,0.09734973577905516
197,0.003995577848714695,0.0973402897277243
198,0.003995436580189561,0.09733684814313087
199,0.003994252329149078,0.09730799741270947
200,0.003992479960206087,0.09726481895068283
201,0.003991497091956751,0.09724087430893714
202,0.003988943237555573,0.09717865729384055
203,0.003986329268888381,0.09711497577466165
204,0.003983604088829061,0.09704858492293048
205,0.003982800561473336,0.09702900938503033
206,0.003982055144574757,0.09701084953440973
207,0.003977312128986221,0.09689530016231587
208,0.003974445680401769,0.09682546772599131
209,0.0039716303289434275,0.09675688011813667
210,0.003966477534441561,0.09663134770988176
211,0.003948695734554503,0.09619814740233588
212,0.003948695734554503,0.09619814740233588
213,0.003948695734554503,0.09619814740233588
214,0.003948695734554503,0.09619814740233588
215,0.003948695734554503,0.09619814740233588
216,0.003948695734554503,0.09619814740233588
217,0.003948695734554503,0.09619814740233588
218,0.003948695734554503,0.09619814740233588
219,0.003948695734554503,0.09619814740233588
220,0.003948695734554503,0.09619814740233588
221,0.00393090692133641,0.09576477623598043
222,0.0039304901290920435,0.09575462234100979
223,0.003927884175660319,0.09569113608904185
224,0.003926886278844481,0.09566682532127559
225,0.003923504851381171,0.09558444696664593
226,0.00392086884081644,0.09552022846263686
227,0.003919000289047825,0.09547470679407852
228,0.0039184792987423675,0.09546201442536521
229,0.0039181065902930785,0.09545293450005493
230,0.003917310076268388,0.09543352982096438
231,0.0039150387589174775,0.09537819597505463
232,0.003914398541984424,0.09536259900657808
233,0.003914383513417921,0.09536223288055751
234,0.003912849597730119,0.09532486361805734
235,0.003912804512030609,0.09532376523999561
236,0.003912387719786243,0.09531361134502497
237,0.003909916021548617,0.09525339581884086
238,0.003908054483111038,0.09520804500909215
239,0.003906386312229138,0.09516740502080816
240,0.003902030031751962,0.09506127729164379
241,0.0038978971759634725,0.09496059263598532
242,0.003896944364847144,0.09493738024628078
243,0.003895961496597809,0.09491343560453509
244,0.0038949786283484734,0.0948894909627894
245,0.0038942492419208326,0.09487172164659077
246,0.003893444712660673,0.09485212170028924
247,0.003892700297666528,0.09483398625807003
248,0.0038919548807679494,0.09481582640744944
249,0.0038908237306624453,0.09478826932230074
250,0.0038899971595047476,0.09476813239116905
251,0.0038888129084642636,0.09473928166074763
252,0.0038876657278878223,0.09471133404117697
253,0.0038876657278878223,0.09471133404117697
254,0.0038876657278878223,0.09471133404117697
255,0.0038876657278878223,0.09471133404117697
256,0.0038876657278878223,0.09471133404117697
257,0.0038876657278878223,0.09471133404117697
258,0.0038876657278878223,0.09471133404117697
259,0.0038876657278878223,0.09471133404117697
260,0.0038876657278878223,0.09471133404117697
